Accident ID,Final_Category_Path,Cosine,Rank,Selected,Below_UNCAT_Threshold,Parent,Parent_Sim,Parent_Margin,Parent_LowConf
477,Incident Type > Explosion > Chemical Explosion,0.553951621055603,2,True,False,Incident Type,0.5633256435394287,0.05963468551635742,False
859,mist,0.4872121214866638,1,True,False,mist,0.4872121214866638,0.0028774142265319824,True
687,iso-butane,0.5698223114013672,1,True,False,iso-butane,0.5698223114013672,0.023464202880859375,True
215,Incident Type > Fire > Liquid substance fire,0.5616782903671265,1,True,False,Incident Type,0.5616782903671265,0.006020307540893555,True
215,Incident Type > Fire > vapor substance fire,0.5436763167381287,2,True,False,Incident Type,0.5616782903671265,0.006020307540893555,True
871,Incident Type > Fire > Liquid substance fire,0.5799967646598816,1,True,False,Incident Type,0.5799967646598816,0.06701803207397461,False
871,Incident Type > Fire > vapor substance fire,0.5716930627822876,2,True,False,Incident Type,0.5799967646598816,0.06701803207397461,False
1126,Incident Type > Fire > vapor substance fire,0.5696046352386475,1,True,False,Incident Type,0.5696046352386475,0.042965710163116455,False
1126,Incident Type > Fire > Liquid substance fire,0.5590544939041138,2,True,False,Incident Type,0.5696046352386475,0.042965710163116455,False
1270,Incident Type > Fire > Liquid substance fire,0.6069881916046143,1,True,False,Incident Type,0.6069881916046143,0.07884842157363892,False
1270,Incident Type > Fire > fire-brigade,0.5456106662750244,2,True,False,Incident Type,0.6069881916046143,0.07884842157363892,False
611,Incident Type > Explosion > Chemical Explosion,0.6085267663002014,1,True,False,Incident Type,0.6085267663002014,0.045146405696868896,False
611,Incident Type > Explosion > Runaway reaction and explosion,0.5983521342277527,2,True,False,Incident Type,0.6085267663002014,0.045146405696868896,False
868,furnaces,0.5439538359642029,1,True,False,furnaces,0.5439538359642029,0.031516194343566895,False
240,consequences > Fire > Liquid substance fire > Toxic cloud,0.6146938800811768,1,True,False,consequences,0.6146938800811768,0.053107500076293945,False
240,consequences > Fire > Gas > vapor substance fire > Toxic cloud,0.5956969857215881,2,True,False,consequences,0.6146938800811768,0.053107500076293945,False
