Accident ID,Final_Category_Path,Cosine,Rank,Selected,Below_UNCAT_Threshold,Parent,Parent_Sim,Parent_Margin,Parent_LowConf,Consolidated_Path
258,Equipment > PCT > Safety Systems,0.41032281517982483,2,True,False,Equipment,0.4182737171649933,0.007295399904251099,True,equipment > pct > safety systems
692,ignited,0.558068573474884,1,True,False,ignited,0.558068573474884,0.005089700222015381,True,ignit
9,chemicals > Type > Ammonia,0.5292199850082397,1,True,False,chemicals,0.5292199850082397,0.006968140602111816,True,chemical > type > ammonia
735,hypochlorite,0.48540061712265015,1,True,False,hypochlorite,0.48540061712265015,0.016851425170898438,True,hypochlorite
1003,ethylene,0.44910311698913574,1,True,False,ethylene,0.44910311698913574,0.011531621217727661,True,ethylene
67,flaring,0.5289174914360046,1,True,False,flaring,0.5289174914360046,0.018835604190826416,True,flar
1194,Equipment > Static Equipment > Piping > Valves > Relief valve Leak,0.5168460011482239,1,True,False,Equipment,0.5168460011482239,2.962350845336914e-05,True,equipment > static equipment > piping > valv > relief valve leak
1194,Equipment > Static Equipment > Piping > Valves > Valve left open by mistake,0.4700947403907776,2,True,False,Equipment,0.5168460011482239,2.962350845336914e-05,True,equipment > static equipment > piping > valv > valve left open by mistake
227,Incident Type > Explosion > Gas explosion,0.5750798583030701,1,True,False,Incident Type,0.5750798583030701,0.07480484247207642,False,incident type > explosion > gas explosion
227,Incident Type > Explosion > Runaway reaction and explosion,0.5669897198677063,2,True,False,Incident Type,0.5750798583030701,0.07480484247207642,False,incident type > explosion > runaway reaction and explosion
1220,Incident Type > Explosion > Chemical Explosion,0.6364371180534363,1,True,False,Incident Type,0.6364371180534363,0.06599241495132446,False,incident type > explosion > chemical explosion
1220,Incident Type > Explosion > Runaway reaction and explosion,0.6112165451049805,2,True,False,Incident Type,0.6364371180534363,0.06599241495132446,False,incident type > explosion > runaway reaction and explosion
1258,biogas-generating,0.6282944679260254,1,True,False,biogas-generating,0.6282944679260254,0.19753193855285645,False,biogas-generat
262,causes > Chemical Causes > Unwanted chemical reaction > Spontaneous combustion,0.5733518600463867,1,True,False,causes,0.5733518600463867,5.1140785217285156e-05,True,caus > chemical causes > unwanted chemical reaction > spontaneous combustion
262,causes > Chemical Causes > Unwanted chemical reaction > Runaway reaction,0.5383265018463135,2,True,False,causes,0.5733518600463867,5.1140785217285156e-05,True,caus > chemical causes > unwanted chemical reaction > runaway reaction
825,propane-filled,0.48994341492652893,1,True,False,propane-filled,0.48994341492652893,0.004040569067001343,True,propane-fill
679,Incident Type > Explosion > Runaway reaction and explosion,0.6440284848213196,1,True,False,Incident Type,0.6440284848213196,0.14294612407684326,False,incident type > explosion > runaway reaction and explosion
679,Incident Type > Explosion > Gas explosion,0.5521343946456909,2,True,False,Incident Type,0.6440284848213196,0.14294612407684326,False,incident type > explosion > gas explosion
177,Loss of Containment > Leaks,0.49589043855667114,1,True,False,Loss of Containment,0.49589043855667114,0.016952186822891235,True,loss of containment > leak
177,"Loss of Containment > Leaks > Leak, entrainment from a nearby equipment (domino effect)",0.47880613803863525,2,True,False,Loss of Containment,0.49589043855667114,0.016952186822891235,True,"loss of containment > leak > leak, entrainment from a nearby equipment (domino effect)"
51,Incident Type > Explosion > Chemical Explosion,0.476849228143692,1,True,False,Incident Type,0.476849228143692,0.028369098901748657,False,incident type > explosion > chemical explosion
51,Incident Type > Explosion > vapor explosion,0.4588792026042938,2,True,False,Incident Type,0.476849228143692,0.028369098901748657,False,incident type > explosion > vapor explosion
42,Loss of Containment > Spills > oil-spill,0.44986623525619507,1,True,False,Loss of Containment,0.44986623525619507,0.02411407232284546,True,loss of containment > spill > oil-spill
1050,Loss of Containment > Spills > oil-spill,0.5527265071868896,1,True,False,Loss of Containment,0.5527265071868896,0.06574290990829468,False,loss of containment > spill > oil-spill
